scan_id,frame_idx,pts_time,tile,yavg,ymax,ymin,satavg,red_ratio
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,120,4.8,0,155.0,155.0,155.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,121,4.84,0,148.0,148.0,148.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,122,4.88,0,142.0,142.0,142.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,123,4.92,0,134.0,134.0,134.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,124,4.96,0,127.0,127.0,127.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,125,5.0,0,120.0,120.0,120.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,126,5.04,0,112.0,112.0,112.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,127,5.08,0,105.0,105.0,105.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,128,5.12,0,97.0,97.0,97.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,129,5.16,0,91.0,91.0,91.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,130,5.2,0,84.0,84.0,84.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,131,5.24,0,78.0,78.0,78.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,132,5.28,0,73.0,73.0,73.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,133,5.32,0,69.0,69.0,69.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,134,5.36,0,65.0,65.0,65.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,135,5.4,0,62.0,62.0,62.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,136,5.44,0,61.0,61.0,61.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,137,5.48,0,60.0,60.0,60.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,138,5.52,0,60.0,60.0,60.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,139,5.56,0,61.0,61.0,61.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,140,5.6,0,62.0,62.0,62.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,141,5.64,0,65.0,65.0,65.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,142,5.68,0,69.0,69.0,69.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,143,5.72,0,73.0,73.0,73.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,144,5.76,0,78.0,78.0,78.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,145,5.8,0,84.0,84.0,84.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,146,5.84,0,91.0,91.0,91.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,147,5.88,0,97.0,97.0,97.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,148,5.92,0,105.0,105.0,105.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,149,5.96,0,112.0,112.0,112.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,150,6.0,0,119.0,119.0,119.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,151,6.04,0,127.0,127.0,127.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,152,6.08,0,134.0,134.0,134.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,153,6.12,0,142.0,142.0,142.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,154,6.16,0,148.0,148.0,148.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,155,6.2,0,155.0,155.0,155.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,156,6.24,0,161.0,161.0,161.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,157,6.28,0,166.0,166.0,166.0,0.0,0.5019607843137255
